modality,model,trial_idx,learning_rate,batch_size,weight_decay,aug_strength,label_smoothing,imbalance,patience,cnn_widths,p,best_val_score,primary_metric_test,epochs_ran,train_time_s,gpu_id,elapsed_s
lung,cnn,8,0.0006374573838162773,32,4.763414263858175e-05,1.0,0.1,weighted_sampler,5,"[32, 64, 128, 256]",0.3,0.6264676327480432,0.5642932036984082,14,26.38162561133504,0,32.6
lung,cnn,9,0.0010145413967824974,64,4.881712384088811e-06,1.5,0.1,weighted_sampler,5,"[16, 32, 64, 128]",0.5,0.6374087687751216,0.5506743875702984,19,30.748652026057243,1,37.3
lung,cnn,7,0.0008559867952156226,64,4.2833311001955815e-06,1.5,0.05,class_weight,10,"[16, 32, 64, 128]",0.3,0.651661994922784,0.5316092364884186,30,46.534619592130184,3,52.9
lung,cnn,10,0.0016304873529303856,64,0.00030590813568306903,1.0,0.0,class_weight,5,"[16, 32, 64, 128]",0.5,0.6570565369155913,0.5191985987989705,30,44.767776660621166,2,51.0
lung,cnn,11,0.0022497009641328906,32,2.359585158584463e-05,1.0,0.0,class_weight,5,"[32, 64, 128, 256]",0.3,0.6411241273535011,0.5037544085406539,17,30.30506394430995,3,36.4
lung,cnn,13,0.002234960867452126,32,0.00033952829350332827,1.0,0.05,class_weight,5,"[32, 64, 128, 256]",0.5,0.6376599851914533,0.5533433419121152,13,25.13393247127533,1,31.9
lung,cnn,12,0.0017655556204013464,64,1.5166767580505308e-06,1.0,0.0,weighted_sampler,5,"[32, 64, 128, 256]",0.5,0.6471929870954094,0.5520970355542847,16,28.009271919727325,0,34.6
lung,cnn,14,0.0019379100110394443,16,4.426476640684213e-05,0.5,0.0,weighted_sampler,5,"[16, 32, 64, 128]",0.3,0.6339181827797757,0.5489765036698122,15,29.27403537929058,2,35.6
lung,cnn,16,0.00240433039849007,16,5.630322203453809e-06,0.5,0.0,class_weight,5,"[16, 32, 64, 128]",0.3,0.6434445737254073,0.5112703746068058,17,33.606520779430866,0,40.3
lung,cnn,15,0.0003021003647566209,32,0.0,1.5,0.1,weighted_sampler,5,"[32, 64, 128, 256]",0.5,0.6517479373810028,0.5935456581832046,24,42.38270751014352,3,48.8
lung,cnn,17,0.0011996236146401857,32,7.598132594600383e-05,1.0,0.05,class_weight,10,"[16, 32, 64, 128]",0.5,0.6396432726888089,0.5473095987036507,25,42.13227212801576,1,48.9
lung,cnn,19,0.001350613398698462,32,6.873879505825773e-05,1.0,0.1,class_weight,7,"[32, 64, 128, 256]",0.3,0.6318423418658768,0.5195810694881327,19,34.621268682181835,3,40.9
lung,cnn,18,0.0004888441914015518,32,7.068099219761599e-05,1.0,0.0,class_weight,10,"[32, 64, 128, 256]",0.5,0.641388565686482,0.5745245925078639,30,50.30631800740957,2,56.8
lung,cnn,21,0.0011821128249737602,32,2.395249418167683e-06,1.0,0.05,weighted_sampler,5,"[32, 64, 128, 256]",0.3,0.6132060503490586,0.5549459060146793,14,26.645147137343884,1,32.9
lung,cnn,20,0.0016280407992721566,32,6.783381819492847e-05,0.5,0.1,class_weight,10,"[16, 32, 64, 128]",0.5,0.6569705944573725,0.5345248308073587,25,42.63604499399662,0,48.9
lung,cnn,22,0.0005867681167288368,32,2.2386776433436166e-05,1.5,0.1,weighted_sampler,7,"[32, 64, 128, 256]",0.5,0.638228527607362,0.5743053569726433,26,45.5297177284956,2,51.8
lung,cnn,25,0.00034140325038100824,32,2.5450383312979832e-06,1.0,0.1,weighted_sampler,7,"[32, 64, 128, 256]",0.3,0.6368270044425639,0.5038747497855305,21,37.337555542588234,1,43.6
lung,cnn,24,0.00032304812036945105,16,4.441604148324772e-05,1.0,0.05,weighted_sampler,10,"[32, 64, 128, 256]",0.3,0.6305267611592976,0.5509186445524736,24,48.2722784280777,0,54.7
lung,cnn,23,0.000811788693835463,16,2.168307833529922e-05,1.5,0.0,class_weight,10,"[16, 32, 64, 128]",0.3,0.6519925428390099,0.5357234772662282,30,55.12143001332879,3,61.7
lung,cnn,28,0.00038696634016286433,16,2.2269526940423543e-05,1.0,0.1,weighted_sampler,5,"[16, 32, 64, 128]",0.3,0.6179130526761158,0.543751787246211,13,27.152205999940634,0,33.9
lung,cnn,26,0.000941072290768439,32,0.0,1.0,0.05,class_weight,7,"[32, 64, 128, 256]",0.5,0.6074611275650519,0.5170491373558288,19,34.573525972664356,2,40.9
lung,cnn,27,0.0025983917308624207,16,5.938768627580129e-05,1.0,0.1,class_weight,5,"[32, 64, 128, 256]",0.3,0.6260445314152739,0.5288294728815175,17,35.80112334340811,3,42.1
lung,cnn,29,0.00034637783945701256,16,2.1119933049687276e-06,1.5,0.0,class_weight,5,"[16, 32, 64, 128]",0.5,0.6466178337211762,0.5635723477266228,30,54.69338762760162,1,61.1
lung,cnn,31,0.0004874853685526203,32,0.0005102605924480714,1.0,0.05,weighted_sampler,5,"[32, 64, 128, 256]",0.3,0.6241471863761371,0.5577399675912688,14,26.47070238366723,3,32.6
lung,cnn,30,0.0024325802376953085,32,3.440189051858385e-05,1.5,0.05,weighted_sampler,10,"[16, 32, 64, 128]",0.3,0.6494142690924476,0.5385366028024021,27,44.925386641174555,2,51.5
lung,effnet,0,0.00020261373416788548,64,2.100693553121946e-06,1.5,0.1,weighted_sampler,5,None,0.3,0.5994552570340597,0.5783052139929463,7,72.64095118269324,0,81.8
lung,effnet,1,0.00018581665116806272,64,1.7356869030868474e-05,1.0,0.05,class_weight,5,None,0.3,0.6304474296594034,0.562638213706987,16,123.14413375779986,1,132.8
lung,effnet,2,0.00010969887686423884,64,0.00018199900140176517,1.0,0.0,weighted_sampler,10,None,0.3,0.601180717156759,0.5427413973882376,22,161.9834314249456,2,171.4
lung,effnet,4,0.00027463647832839857,16,0.00011167561806271455,1.5,0.0,class_weight,5,None,0.3,0.6090609794795854,0.5709191211514631,8,105.25004357472062,0,115.0
lung,effnet,3,3.36855412367168e-05,16,0.0,1.5,0.1,class_weight,5,None,0.3,0.606661201607785,0.5585370794013916,19,248.27415952831507,3,259.3
lung,effnet,5,4.1001059628121765e-05,64,2.1667561711516775e-05,0.5,0.05,weighted_sampler,5,None,0.3,0.6259718108737042,0.5515703936707654,21,157.66969669237733,1,167.2
lung,effnet,6,7.781502654933716e-05,16,0.00020920927875708577,1.5,0.1,weighted_sampler,7,None,0.3,0.6286294161201608,0.5731305404632542,13,162.00339720770717,2,172.8
lung,effnet,9,0.00016656556770305522,64,0.0,1.5,0.1,weighted_sampler,7,None,0.3,0.5910791728368945,0.5843020207797159,9,74.01463586837053,1,82.4
lung,effnet,8,0.0002064389855714366,32,0.00047242744127000424,1.0,0.1,class_weight,10,None,0.3,0.6181841019674212,0.5312219998093604,15,118.38808671012521,0,127.1
lung,effnet,7,8.971037262927923e-05,32,9.178840260203047e-05,0.5,0.05,class_weight,5,None,0.3,0.631029193991961,0.5193248975312172,20,187.2752178348601,3,196.2
lung,effnet,12,0.00027048072928548386,64,6.661777336293772e-05,1.0,0.1,class_weight,5,None,0.3,0.6054183414427756,0.5499904680202078,9,75.24593418836594,0,84.0
lung,effnet,11,6.840109302508797e-05,16,0.0,1.5,0.1,weighted_sampler,7,None,0.3,0.6250661095832452,0.5793513487751406,13,157.01310651749372,3,167.1
lung,effnet,15,8.208297395360023e-05,64,0.0,1.5,0.1,class_weight,10,None,0.3,0.5944838163740216,0.5461752931083786,13,101.75202074274421,3,111.1
lung,effnet,13,3.0408541186224995e-05,16,1.0529529366687452e-05,1.5,0.05,weighted_sampler,7,None,0.3,0.6248148931669135,0.5582963969116386,23,275.0849511735141,1,286.5
lung,effnet,10,0.00011673308158992478,16,4.682503481750952e-05,1.5,0.05,class_weight,10,None,0.3,0.6359146921937804,0.561841101896864,30,392.54471867904067,2,403.1
lung,effnet,16,9.509360909603021e-05,32,0.000332725657378871,1.5,0.0,weighted_sampler,7,None,0.3,0.617761000634652,0.5757363454389477,20,180.3651126138866,0,190.2
lung,effnet,14,3.0341796578344698e-05,16,0.0,0.5,0.0,weighted_sampler,7,None,0.3,0.6399804315633595,0.5665379849394719,27,373.75938338786364,2,384.4
lung,effnet,18,0.0001123076669889418,32,0.00018016043606725805,1.0,0.1,class_weight,7,None,0.3,0.6008633911571821,0.535479220284053,12,128.18637709319592,2,136.8
lung,effnet,20,0.0001939693485908971,64,3.7995737623608148e-06,1.5,0.0,class_weight,10,None,0.3,0.629779722868627,0.5826875417024115,28,198.19923697784543,0,206.6
lung,effnet,19,3.477291143750176e-05,64,1.530122350710722e-06,1.5,0.05,class_weight,10,None,0.3,0.6095634123122488,0.5650069106853494,30,214.6211670935154,3,223.6
lung,effnet,17,4.249200023493366e-05,16,0.00041600763198252813,0.5,0.05,weighted_sampler,7,None,0.3,0.6398085466469219,0.5460632923458202,30,387.39753476530313,1,398.4
lung,effnet,21,8.19943656653902e-05,16,4.801693287067606e-05,1.5,0.05,weighted_sampler,10,None,0.3,0.6321927226570764,0.5678259937088933,16,218.77940263971686,1,228.5
lung,effnet,22,0.00021762346647335453,64,2.2434211333404734e-05,1.0,0.0,class_weight,10,None,0.3,0.6353395388195473,0.571805595272138,15,115.64642477035522,2,123.9
lung,effnet,23,0.00010170735210486201,32,1.2385879152426603e-05,1.5,0.05,class_weight,10,None,0.3,0.5834567378887243,0.5584965684872748,13,104.326644256711,3,114.2
lung,effnet,25,0.00022833213697429056,64,5.153786957372472e-05,0.5,0.05,class_weight,7,None,0.3,0.6259718108737042,0.5441676198646459,17,151.47610385343432,1,160.3
lung,effnet,24,0.0001404316097220148,32,0.0,1.0,0.1,weighted_sampler,7,None,0.3,0.6354915908610113,0.5521530359355638,30,230.67791819944978,0,240.7
lung,effnet,26,0.00019344142430737234,32,2.9967779050503486e-05,1.5,0.0,class_weight,5,None,0.3,0.6147001269303999,0.5955175865027166,13,129.5092208944261,2,140.4
lung,effnet,28,4.883291888531567e-05,32,6.429787185451825e-06,0.5,0.05,class_weight,5,None,0.3,0.6101451766448064,0.5552783338099323,10,108.57957226783037,0,119.4
lung,effnet,29,9.77886331756468e-05,32,1.297244006680736e-06,0.5,0.05,class_weight,7,None,0.3,0.6248148931669135,0.5528786578972452,20,183.82313913479447,1,193.7
lung,effnet,30,3.6991616176746134e-05,64,0.0009493983382322863,0.5,0.05,class_weight,10,None,0.3,0.6161082610535223,0.5556703364788866,30,215.0544856749475,2,223.7
lung,effnet,27,0.00012009864809096613,16,7.2912445490719405e-06,0.5,0.05,weighted_sampler,7,None,0.3,0.6606198434525068,0.5392050328853303,29,368.7613011598587,3,379.7
lung,effnet,31,7.355112608594564e-05,16,0.0,0.5,0.0,class_weight,10,None,0.3,0.6565607150412525,0.5450302640358402,25,315.3497772552073,3,325.8
